Title(BHK),Price,location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type
2,6400000.0,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
3,11000000.0,greater-noida,1400,3,3,New Property,Unfurnished,North - East,"Garden/Park, Main Road",3,3,1,Covered
4,29000000.0,gurgaon,2358,1,4,New Property,Semi-Furnished,North - East,"Pool, Garden/Park, Main Road",4,2,2,"Covered,"
3,16299999.999999998,gurgaon,1300,5,13,New Property,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,3,1,"Covered,"
3,25000000.0,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
3,6950000.0,chandigarh,1210,3,10,New Property,Unfurnished,North - West,"Garden/Park, Pool, Main Road",3,3,1,Covered
2,6400000.0,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
3,4800000.0,jaipur,1086,3,6,New Property,Semi-Furnished,East,Main Road,3,2,1,Covered
3,43000000.0,gurgaon,1701,17,27,New Property,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",4,3,2,"Covered,"
3,8500000.0,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,25000000.0,chennai,1831,18,19,Resale,Unfurnished,North,"Pool, Main Road",3,3,1,Open
3,17500000.0,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,"
4,25500000.0,gurgaon,2100,3,4,New Property,Semi-Furnished,East,"Garden/Park, Main Road",4,3,1,Covered
3,12700000.0,kochi,1134,6,18,Resale,Unfurnished,North - West,Garden/Park,3,1,1,Covered
3,8500000.0,bangalore,900,10,14,Resale,Unfurnished,East,"Garden/Park, Main Road",2,2,1,Covered
3,18900000.0,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open
3,15800000.0,mohali,1150,2,11,New Property,Semi-Furnished,North - East,Garden/Park,4,3,1,"Covered,"
2,6400000.0,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered
4,26800000.0,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,"
0,6000000.0,lucknow,315,1,1,Resale,Unfurnished,North,Main Road,1,1,1,Covered
3,15500000.0,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,"
4,70000000.0,gurgaon,2700,15,18,Resale,Unfurnished,East,"Garden/Park, Pool",5,2,2,Covered
