Title(BHK),location,Carpet Area(sqft),Floor No.,Total Floors,Transaction,Furnishing,facing,overlooking,Bathroom,Balcony,Parking Spaces,Parking Type,Price
0,lucknow,315,1,1,Resale,Unfurnished,North,Main Road,1,1,1,Covered,2846200.0
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,",15500000.0
4,gurgaon,2700,15,18,Resale,Unfurnished,East,"Garden/Park, Pool",5,2,2,Covered,70000000.0
3,new-delhi,1570,7,8,Resale,Unfurnished,North - West,"Garden/Park, Main Road",3,2,1,"Covered,",17500000.0
3,new-delhi,1500,4,8,Resale,Furnished,East,"Garden/Park, Main Road",3,3,2,Open,18900000.0
4,ahmedabad,1707,6,14,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",4,1,2,Covered,21100000.0
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered,12100000.0
4,ahmedabad,1707,6,14,New Property,Unfurnished,East,"Garden/Park, Pool, Main Road",4,1,2,Covered,21100000.0
3,guwahati,750,3,7,New Property,Unfurnished,East,Garden/Park,2,2,1,Covered,4553900.0
2,hyderabad,956,5,5,Resale,Furnished,East,Garden/Park,2,1,1,Covered,6900000.0
2,surat,660,4,10,Resale,Unfurnished,North - East,"Garden/Park, Main Road",2,1,1,Covered,4922950.0
3,bhiwadi,1600,1,10,Resale,Semi-Furnished,West,"Garden/Park, Pool, Main Road",3,3,1,Covered,5125600.0
4,hyderabad,3600,3,4,New Property,Semi-Furnished,North,Garden/Park,4,1,2,Covered,39800000.0
2,new-delhi,400,2,3,Resale,Semi-Furnished,East,"Garden/Park, Main Road",1,1,1,Open,3000000.0
4,new-delhi,1950,8,10,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",3,4,1,"Covered,",26800000.0
3,new-delhi,1760,6,8,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",4,3,1,"Covered,",23500000.0
3,mumbai,915,6,25,New Property,Unfurnished,North - West,"Garden/Park, Main Road",3,0,1,Covered,25825000.0
2,ranchi,1000,2,4,Resale,Semi-Furnished,North - East,Main Road,2,2,1,Covered,4962400.0
3,gurgaon,1550,5,20,Resale,Semi-Furnished,East,"Garden/Park, Pool, Main Road",3,2,1,"Covered,",15500000.0
3,gurgaon,1350,9,19,Resale,Semi-Furnished,South,Main Road,2,4,1,Covered,12973000.0
2,bangalore,805,9,15,Resale,Unfurnished,North,Garden/Park,2,1,1,Covered,6400000.0
3,kolkata,1450,18,28,Resale,Furnished,North - East,Garden/Park,3,2,1,Covered,12100000.0
3,new-delhi,1300,5,7,Resale,Semi-Furnished,East,Garden/Park,2,2,1,"Covered,",15800000.0
